hnid,school,field_of_study,year
lalushula,University of Oxford,Public Policy,2019
lambski1333,Princeton University,Politics,2011
lambski1333,"The Wharton School, University of Pennsylvania",Entrepreneurial Management,2017
lancerodela,Brigham Young University,Information Systems,2008
lancerpickens,Illinois Institute of Technology,Molecular Biochemistry And Biophysics,2005
lancerpickens,KTH,Biological Sciences,2003
lancerpickens,University of Southern California,Chemistry,2008
landon32,Dos Pueblos High School,Mechanical Engineering,2015
landon32,University of Southern California,"Arts, Technology, And The Business Of Innovation",2019
landon_vh,University of Southampton,Mechanical Engineering,2018
langer,University of Oxford,Mathematics,2007
langheierj2,Duke Graduate School,Neurobiology,2004
langheierj2,Duke Medical School,Medicine,2009
langheierj2,Harvard T.H. Chan School of Public Health,Quantitative Methods,2007
langheierj2,"University of California, San Francisco",Clinical Research,2008
langheierj2,Williams College,Neuroscience And Biology,2000
larryrid0480,The Ohio State University,Management Information Systems,2001
lasermatts,Georgia Institute of Technology,Electrical Engineering,2017
lasryaric,EPITECH,Computer Science,2008
lauraAC47,Peking University,Coursework In Chinese Language And Politics,2010
lauraAC47,Stanford University,International Policy,2013
lauraAC47,"University of California, Berkeley","Political Science, China Studies",2011
laurasavidge,Stanford University,Electrical Engineering,2006
laurasavidge,Stanford University,"Electrical Engineering, Mathematics",2005
laurencefornari,CPE Lyon,"Signal Processing, Data And Telecommunications",1994
laurencefornari,Institut Mines,"Business Administration And Management, General",2016
laurencefornari,Stanford University,"Business, Management, Marketing, And Related Support Services",2000
laurencefornari,"Stanford University
Stanford University Center for Professional Development, SCPD, Innovation & Entrepreneurship",Entrepreneurship/entrepreneurial Studies,2015
laurencefornari,Télécom Ecole de Management,Digital And Innovation,2016
laurencefornari,Visconti Business Coaching School,"Business Administration And Management, General",2012
laurenkay,Brown University,American Civilization,2011
laurihy,Aalto University,Marketing,2009
laurihy,University of Helsinki,Computer Science,2012
lawelie,University of Amsterdam,Medical Biology,1999
lawelie,University of Amsterdam,Neuroscience,2004
lbostral,Lycée La Colinière,Bac S Option Physique,1995
lbostral,Polytech'Nantes,Software Engineering,2000
lbostral,Université de Nantes,Computer And Information Sciences And Support Services,1997
lbreen11,Cornell University College of Engineering,Computer Science,2021
lc-malloc,University of Cyprus,Computer Engineering,2019
lc-malloc,University of Lancaster,Computing And Communications,2011
lc_carrier,Université de Montréal,Economics,2015
lcolucci,Duke University,Mechanical Engineering,2012
lcolucci,Harvard Medical School,Medicine,2018
lcolucci,Kungliga tekniska högskolan,"Product Design, Biomechanics",2011
lcolucci,Massachusetts Institute of Technology,Medical Engineering And Medical Physics,2018
lcolucci,University of North Carolina at Chapel Hill,"Music, Economics, Creative Writing",2012
leandra,Massachusetts Institute of Technology,Dual: Computer Science And Human Centered Design,2024
leandra,Ramapo College of New Jersey,Design And Interactive Media,2013
leandrew,"University of California, Berkeley",Sociology,2005
leandrosansilva,Maringa State University,Computer Science,2013
leastsquares,Bates College,Economics,2008
lebek,The University of Glasgow,Computer Science,2014
lebek,University of Oxford,Biochemistry And Molecular Biology,2010
lebek,University of Toronto,Computer Science,2013
lebrian_,"University of California, Los Angeles",Computer Science And Engineering,2005
leeab,Ryerson University,Information Technology Management,2006
legaljargon,National Academy of Legal Studies & Research (NALSAR) University Hyderabad,Law,2009
legbe,Aristoteleion Panepistimion Thessalonikis,Civil Engineering,2011
legbe,Aristotle University of Thessaloniki (AUTH),Civil Engineering,2011
legbe,MIT Sloan School of Management,Master Of Business Administration,2017
legbe,Massachusetts Institute of Technology,Structural Engineering,2013
legitmaxwu,"University of California, Los Angeles",Computer Science,2021
lehmannerich,Ludwig Maximilian University of Munich,"Business Administration And Management, General",2014
lejohnq,Stanford University,Computer Science,2010
lejohnq,Stanford University,Mathematics,2009
lekekoya,Obafemi Awolowo University,Engineering,2001
lenhsherr,New York University,Chemistry,2019
lenhsherr,Zhejiang University,Physics,2015
lennyevans,"University of California, Berkeley",Physics,2016
lennyevans,University of North Carolina at Chapel Hill,"Physics, Math",2011
lenorin,Carnegie Mellon University's College of Engineering,Electrical And Electronics Engineering,2009
lentany,Federal University of Technology Minna,Mathematics And Computer Science,2009
leoCodePoet,University Of Maryland,Computer Science,2011
leoCodePoet,"University of Maryland, College Park",Computer Science,2013
leo_lightmeter,Maringa State University,Computer Science,2013
leo_schott,University of Southern California - Marshall School of Business,Marketing And Finance,2023
leoazca,Ibmec Business School,Finanças,2018
leoazca,Universidade Federal de Pernambuco,Contabilidade,2018
leoazca,Universidade Federal de Pernambuco,Direito,2015
leoazca,Universidade Federal de Pernambuco,Planejamento Tributário,2017
leoazca,"Universität Duisburg-Essen, Standort Duisburg",German Language,2014
leohenry,Universidad del Salvador,Licenciado En Sistemas,1993
leohenry,Y Combinator,Alumni Batch S20,2020
leon_bartolome,Imperial College London,Mechanical Engineering,2018
leonck,National University of Singapore,Communications And Media,2007
leonck,Stanford University,Management Science And Engineering,2006
leonkenneth,Ecole nationale supérieure des Télécommunications,Computer Science,2012
leonkenneth,Universidad Politécnica de Madrid,"Mobile Development, Databases, Network Engineering And Artificial Intelligence",2012
leonz4264,"The Wharton School, University of Pennsylvania",Dropped Out,2022
leonz4264,University of Chicago,Mathematics And Economics,2017
leoooo,University Of Maryland,Computer Science,2011
leoooo,"University of Maryland, College Park",Computer Science,2013
leopinho,Faculdade Integrada do Recife,Administraã§ã£o De Empresas,2010
leoryu3,Brown University,Computer Science,2019
leot77,Cornell University,Microbiology Minors: Chemistry And Biochemistry,2009
lerigner,EFREI,Information Systems,2011
lerigner,Université Panthéon Assas,Economics And Management,2004
letseathacker,KTH Royal Institute of Technology,Mechatronics Engineering,2007
leveredvlad,The University of British Columbia,Finance And Economics,2014
levglsh389,New York University - Leonard N. Stern School of Business,Business And Computer Science,2025
levglsh389,Saint Petersburg Lyceum 239,"Focus On Math, Physics, And Computer Science",2018
levi-epstein,Imperial College London,Computer Science,2017
levi-epstein,London School of Economics and Political Science,Economics,2016
levinson_jon,General Assembly,Back End Web Development,2014
levinson_jon,Tufts University,International Relations,2013
levonbrutyan,Finance University under the Government of the Russian Federation,"Finance Law, Risk Management",2008
levonbrutyan,Harvard Business School,Launching New Ventures,2015
levonbrutyan,Hult International Business School,Entrepreneurship,2015
levpopov,Massachusetts Institute of Technology,Electrical Engineering And Computer Sciences,2008
lewisf,"University of California, San Diego",Computer Science,2013
lexrovner,"University of California, Berkeley",Molecular Environmental Biology,2008
lexrovner,Yale University,Molecular Cellular And Developmental Biology / Synthetic Biology,2015
lexrovner,Yale University,"Molecular, Cellular And Developmental Biology",2014
leyogarza,Columbia University,Applied Analytics,2021
leyogarza,Tecnológico de Monterrey,Economics,2017
leyogarza,University of Southern California,Economics,2020
lfrazier,University of Pennsylvania,Computer Science,2012
lgabraham,Stanford University Graduate School of Business,Business Administration,2018
lgabraham,UT Austin,Economics,2008
lgdean,Massachusetts Institute of Technology,Computer Science,2001
liamazing,Washington University in St. Louis,Computer Science,2020
liamcollins,City University of Hong Kong,International Economics,2018
liamcollins,Columbia University,Financial Economics,2020
liamuk,Carnegie Mellon University,Computer Science,2017
lichtenberger12,Amherst College,Geology,2010
lichtenberger12,UVA,"Commerce, History",2013
lihangn,University of Michigan,Mechanical Engineering,2012
lihangn,University of Ottawa,Mechanical Engineering,2008
likedan5,Univeristy of Illinois Cahmpaign-Urbana,Bachelor Of Science,2016
likedan5,University of Illinois Urbana-Champaign,Computer Science,2023
lillian,University of Pennsylvania,Computer Science,2011
limecoin,National Institute of Technology Raipur,Computer Science,2010
linaz,Dartmouth College,Biochemistry,2003
lindingerj,"Higher Technical College (Perg, Austria)",Software Engineering,2015
lindingerj,"WHU - Otto Beisheim School of Management (Vallendar, Germany)",Business,2019
lisalisasimpson,The University of Sheffield,English Language And Literature,2005
lisalisasimpson,University Of Warwick,Creative And Media Enterprises,2006
liseman,"The Wharton School, University of Pennsylvania","Entrepreneurship, Operations / Information Management",2005
lishali88,UC Berekeley,Deep Learning,2017
lishali88,"University of California, Berkeley",Statistics And Machine Learning,2017
lishali88,University of Toronto,Mathematics,2011
lishali88,University of Toronto - University of Trinity College,Mathematics,2010
lishali888,UC Berekeley,Deep Learning,2017
lishali888,"University of California, Berkeley",Statistics And Machine Learning,2017
lishali888,University of Toronto,Mathematics,2011
lishali888,University of Toronto - University of Trinity College,Mathematics,2010
littlesnail,Rensselaer Polytechnic Institute,Electrical Engineering,2005
littlesnail,Sichuan University,Electrical Engineering,1996
littlesnail,University of Waterloo,Systems Design Engineering,2000
liuhenry,Yale University,Applied Physics,2021
liushh,University of Washington,Computer Science,2014
liuyl,Beihang University,Computer Software Engineering,2009
liuyl,Tsinghua University,Computer Science,2014
livy10,KTH Royal Institute of Technology,Electrical And Electronics Engineering,2012
livy10,Tsinghua University,Electrical And Electronics Engineering,2014
livy10,University of Southern California,Electrical And Electronics Engineering,2019
liyanchang,Massachusetts Institute of Technology,Computer Science,2012
liztsai,Massachusetts Institute of Technology,"Mechanical Engineering, Materials Science And Engineering",2011
liztsai,Massachusetts Institute of Technology,Media Arts And Sciences,2013
ljdk,AGH University of Science and Technology,Computer Science In Control And Management,2011
lkpino,Penn State University,"Biochemistry And Molecular Biology, Microbiology",2009
lkpino,University of Washington,Genome Sciences/genomics,2019
llamaimperative,Rensselaer Polytechnic Institute,"Computer Science And Design, Innovation, And Society",2016
llara,Massachusetts Institute of Technology,Computer Science,2019
llara,Massachusetts Institute of Technology,Computer Science And Mathematics,2018
